28.82;22.73;14.98;9.93;16.12;9.91;-34.08;-34.22;-5.95;-0.03;14.9;16.86;20.55;16.31;16.87;20.05;30.38;45.94;49.94;52.08;47.79;48.23;53;37.64
42.97;32.3;26.13;21.9;18.47;22.71;16.27;23.56;30;44.69;50.39;55.11;59.62;50.03;47.6;47.5;47.27;55.05;63;61.08;56.41;55.85;59.27;48.69
43.38;43.38;42.83;34.69;31.44;43.05;52.7;69.76;68.95;68.9;66.67;67.47;66.29;68.9;68.03;67.24;69;74.33;77.51;73.48;65.06;59.88;58.15;55.54
48.54;48.03;45.81;41.93;39.01;45.93;48.47;66.92;69.35;68.99;69.09;68.94;65.69;63.06;59.68;61.73;65.05;70.21;70.08;69.27;56.34;50.06;46.94;44.19
46.36;45.08;43.01;39.52;39.96;44.74;54.24;58.42;59.8;61.07;63.42;63.59;60.98;62.75;58.5;59.07;64.59;69.77;66.99;58.01;58.56;52.68;49.94;40.78
42.68;25.5;21.53;20.06;20.14;26.9;38.99;44.71;45.06;48.56;49.63;50.73;56.33;56.09;55;54.93;58.23;66.99;69.48;66.69;59.73;53.07;54.25;49.49
44.58;42.92;30.51;21.5;23.19;40.05;49.03;64.48;63.77;63.75;64.41;64.97;64.07;62.88;57.19;53.46;59.55;63;61.86;56.13;51.14;49.93;52.48;48.69
27;24.82;20.1;15.76;18.09;14.02;14.69;23.54;38.27;46.2;49.94;49.42;42.9;36.38;31.49;24.21;36.32;53.02;55.45;52.94;48.14;41.02;46.97;34.38
32.54;21.55;15.71;10.58;10.32;10.33;9.22;10;10.19;30;46.02;50.83;53.02;46.62;43.44;36.36;39.22;56.28;63.02;62.38;57.47;49.37;52.01;44.89
30;25.09;20.57;15.04;15.7;25.63;51.64;63.3;62.99;61.2;62.67;62.98;62.88;61.41;60.5;57.52;59.92;67.1;69.93;63.18;54.72;43.94;43.37;32.32
47.31;45.01;41.91;34.15;35.01;44.92;49.81;63.08;64.85;63.04;62.68;63.7;65.03;65.04;62.95;60;62.94;69.04;71.61;67.99;63.67;53.28;56.18;49.33
37.93;34.02;24.29;16.51;14.06;32.55;43.69;57.65;60;60.38;61.43;63.05;60.43;59.85;60;57.91;59.42;66.17;66.75;59.94;52.1;46.83;48.56;43.89
31.04;24.93;16.66;10.46;21.54;34.94;49.87;62.11;63.06;58.89;57.08;59.22;56.19;54.93;50.54;50.05;56.38;63.09;64.95;57.92;54.45;48.6;49.44;43.81
25.21;18.03;14.08;10.36;10.51;23.05;43.09;62.21;65.01;64.48;61.26;61.42;57;54.28;50.7;48.1;50.93;58.44;61.28;58.35;51.41;49.36;51.4;44.08
36.54;30.3;21.78;15.19;14.64;15.29;17.11;40.6;49.04;53.12;53.2;52.99;53.9;47.79;45;43.28;53.91;65.04;63.21;56.19;44.96;37.43;43.78;36.79
19.97;11.9;14.99;10.06;10.2;11.58;10.17;10.2;16.6;27.9;39.94;45.12;45.11;35.13;25.45;23.93;38.17;56.09;64.15;65;55.15;49.32;51.31;46.14
22.73;16.75;17.1;12.72;14.87;23.53;45.48;62.43;65.91;61.19;58.62;59.9;60.14;58.4;52.54;52.93;58.52;67.26;68.36;65.97;60.2;51.24;50.89;48.92
37.65;37.28;34.94;25.3;28.8;40.49;45.24;59.6;63.27;61.63;63.32;63.58;62.89;62.36;59.37;55.97;59.07;67.9;69.08;66.98;60.1;50.01;49.74;45.89
47.14;45.44;43.01;38.89;40.1;46.28;49.51;65.06;66.5;66.09;65.91;66;65.5;65;62.94;61.08;61.19;66.88;69.22;66.46;61.19;51.11;52;48.85
43.09;42.63;42.6;40.06;39.96;41.77;48;63.3;66.09;66.08;65.83;65.63;64.93;63.84;61.74;60.31;61.8;66.61;69.73;66.49;63.71;53.02;52.6;48.46
46.04;45.3;44.88;42.65;42.09;45.7;50.83;64.03;66.61;66.23;66;65.21;64.52;62.98;60.17;56.19;62.07;66.13;67.85;66.27;60.81;54.99;56.96;50.33
