25.12;23.64;19.03;15.97;15.9;9.49;-0.01;-0.08;-0.03;12.09;12.24;18.62;21.04;17.43;12.14;12.89;18.7;33;33.78;33.05;30.92;26.32;28.1;17.2
11.17;-0.01;-11.07;-5.03;-1.48;3.96;27.94;38.31;38.46;40.06;44.25;49.99;51.98;51.41;49.93;50.92;54.79;64.03;55.78;47.12;44.25;39.37;36.03;29.49
29;25.54;21.8;19.73;19.02;24.27;39.16;46.67;53.1;51.87;44.34;41.84;39.59;38.04;35.78;35.12;36.79;41.55;46.76;42.47;35.17;28.62;28.44;15.96
5.01;0.05;0.04;0.09;9.91;10.99;20.44;39.88;43.89;45.41;44.97;48.54;46.91;45;42.77;41.84;44.83;55.33;57.42;48.71;41.49;31.51;30.58;16.31
6.97;-0.07;-42.46;-50.57;-75.04;-5.98;16.88;37.39;37.19;39.96;40.53;40.35;40.91;39.92;39.26;38.69;38.46;42.64;47.61;42.07;40;31.26;29.56;12.87
14.88;11.72;6.29;10.19;10.98;15.82;20.07;36.55;39;40.39;44.66;48.03;47.94;42.03;42.15;42.06;44.13;54.46;65.24;57.96;49.78;43;43.65;39.19
34.86;30.64;28.17;19.95;17.87;15.05;11.77;25.92;35.31;39.57;40.44;40.01;41.03;40.57;36.37;34.92;36.13;41.58;49.01;39.12;34.45;31.64;31.5;25.94
4.97;-0.02;0.01;4.93;9.95;3.82;-0.09;4.97;15.13;26.33;33.74;38.05;39.24;35;33.29;33.27;37.44;46.03;54.3;55.01;46.5;39.94;44.63;37.44
34.97;33.43;32.74;32.46;32.5;36.13;43.02;59.03;64.48;58.72;56.48;56.04;55.7;54.84;52.32;50.72;51.89;57.02;61.27;53.2;47.31;42;42.19;41.34
31.92;31.11;30.71;28.06;30.5;33.82;39.82;47.99;52.96;51.06;51.06;53;52.21;52.96;51.99;51.94;54.96;61.18;61.18;56.79;48;42.74;42.93;39.67
40.09;35.92;34.08;29.41;30.11;36.11;44;52;51.91;51.96;51.43;51.99;51.56;50.39;49.03;50.92;49.09;60.2;70.99;62.31;56.18;47.93;47.91;42.48
40.42;34.44;32.02;28.89;29.21;32.02;45.21;52.79;56.42;53.36;49.03;41.04;39.35;39.62;39.35;42.43;43.39;56.18;51.52;49.04;47.77;46.29;45.54;39.16
23.8;18.44;16.38;16.36;18.44;25.83;36.74;45.99;49.99;45.04;40.24;39.4;38.97;38.89;39.42;44.76;44.11;53.43;51.58;46.93;39.74;38.36;37.75;30.04
30.07;28.66;28.02;29.07;29.47;30.73;31.21;32.1;38.21;40.15;44.18;46.01;45.53;40.13;43.69;43.38;43.4;54.61;62;51.94;45.92;38.95;44.94;39.09
38.99;38.44;37.05;34.55;32.73;33.52;33.15;34.16;39.3;41.99;41.5;45.14;43.61;39.19;38.4;38.3;39.58;46.65;56.53;56.19;51.97;45.57;46.7;44.76
41.94;39.69;38;33.58;33.47;36.12;42.29;57.96;60.89;57.05;56.18;53.28;53.19;51.9;49.08;49.93;52.42;60.16;70.45;61.4;53.26;45.64;46.96;43.37
40.14;40.13;39.93;38.6;38.08;40.14;46.63;57.39;59.28;57.98;54.12;53.98;52.22;51.28;49.95;50.13;53.6;61.56;68.2;59.24;52.15;44.57;46.73;44.41
42.5;41.5;40.29;39.29;39.38;40.1;45.6;54.8;62.75;57.62;47.7;46.32;44.59;44;43.12;44.59;44.3;55.27;47.18;42.05;44.19;43.14;41.34;37.31
32.18;31;31.05;31.27;32.7;37.46;46.59;53.2;54.73;54.61;53.2;55.97;53.23;50.13;45.62;42.57;42.17;50.26;57.97;53.06;46.78;43.34;44.33;40.38
31.8;31.54;30.23;27.52;28.05;31.17;39.33;45.95;49.91;45.87;45.62;45.57;46.08;45.91;46.47;45.24;47.48;55.07;58.46;51.58;46.44;41.49;44.25;44.58
47.55;44;39.88;35.11;33.15;33.06;33.07;35.69;39.56;45;43;40.91;40.54;36.89;33.29;33.25;34.41;45.06;46.89;42.6;36.94;33.02;32.74;16.92
27.28;12.23;0;-0.05;-3.53;-10.05;-100.08;-10;3.05;0.57;12.29;28.06;19.94;16.81;18.53;18.52;22.5;39.93;42.89;45.32;38.98;34.4;36.95;33.24
31.97;31.32;30.95;28.04;28.02;31.63;41.15;52.06;55.01;50.97;50.79;51.51;50.06;47.9;46.82;45.07;47.42;55.05;60.2;55.15;47.41;40.57;39.69;37.44
40.23;38.35;35.81;34.42;35.16;37.34;42;55.07;54.93;55.93;54.27;53.99;52.97;52.35;51.2;50.97;55.08;64.5;67.01;59.32;52.99;47.96;47.96;44.61
41.8;39.48;38.27;37.18;37;38.5;43.16;58.01;58.04;55.07;51.5;50.24;47.51;45.87;45.13;45.11;46.52;58.02;66.09;53.99;47.16;45.35;42.52;40.28
38.86;37.73;36.45;33.59;33.96;35.71;42.29;54.54;57.78;51.96;48.51;46.3;42.23;42.81;43.15;45.29;46.26;57.25;58.51;55.06;49;42.91;44.94;39.29
40.58;39.32;37.96;34.95;34.31;39.65;42.8;51.97;55.94;59.15;58.54;56.68;58;51.56;47.8;45.34;46.04;59.41;65.04;59.7;47.99;44.75;47.91;44.75
